Task	Answer
"What are the related or ""see also"" articles in the biophysics and biochemistry articles?"	"List of biochemistry topics, Biophysics, Chromatography, Organic chemistry, Bionics, Computational biology, Database of Molecular Motions, Nanotechnology"
Did the Physics aricles's Approaches in Physics section mention more scientists than the Chemistry article's Atoms section?	No
"Visit the page of Canada and China, and find their largest cities. Then calculate the population difference between those cities."	Around 21 Million
Visit the pages of the birth places of Albert Einstein's first and second son. Then calculate the population difference between those places.	288000
"I'm trying to find out which scientific disciplines explicitly mention its relationship with mathematics in its Wikipedia article. Can you look at the articles for Physics, Chemistry, and Biology and tell me which ones have a section discussing their connection to Mathematics?"	Physics
"Visit the first hyperlink in the ""Types of Languages"" section in the Language article. Then check the ""Related Pages"" section. Is there any related page that is common between this section and the ""Related Pages"" section of the Language article. If yes, then mention the names of the common pages. Otherwise mention none."	None
Visit the first related page mentioned in the article pages of time and war? Enlist all the related pages mentioned in those articles.	"Chronology, Chronos, 24-hour clock, Time zone, Space-time, Peace, Anti-war movement, conflict, list of ongoing armed conflicts"
"Visit the pages of the people murdered in the ""Unnatural causes of death"" subsection in the ""Death"" article. How many of these articles have a Legacy section?"	Three
"Visit the pages of the continents and sub-continents mentioned in the ""Trees"" section of the Australia page. Among the resulting pages, enlist the titles of the pages that does not have a ""Languages"" section."	Southeast Asia
How many studio albums has the rapper mentioned in Kid Cudi's article released?	Ten
What is the last word of the first section of Metallica's drummer's article?	Marshall
"Go to the page of the first country mentioned in the article page of Southeast Asia. If that country has a politics section, then go to the page of the first politician mentioned in that section. Otherwise, go to the page of the first island mentioned in the article. What are the last three words of the final page?"	chain of islands
Trace this path: Start at the 'Territory' page -> First mentioned country -> Country sharing its southern border -> Most popular sport of that country. What is the last word of the first section on that final page?	Mexico
Go to the page of the first Nobel laureate mentioned in the Nobel Prize's article. Then visit the last hyperlink in the second section. How many countries are mentioned in that page?	One
Visit the pages of all the countries in the United Kingdom. Which of these countries have a dedicated section on the culture of that country?	"England, Scotland"
List all countries mentioned in the article of the first known statistics from the Statistics article.	"United States, United Kingdom, Australia, Canada, Japan, New Zealand"
Navigate to the article of the first specialized tool mentioned in the Physics page. Then navigate to the last hyperlink in the main content of the page (excluding references). How many related pages does that article have?	Two
Recursively follow the first link of the main content of article pages starting from the 'Technology' page. What's the title of the final article reached before an article doesn't exist page.	Fact
Recursively follow the first link of the main content of article pages starting from the 'Technology' page until you reach an article that doesn't exist. Enlist the titles of all the valid pages that you visited.	"Sun, Star"
Find the capital city of the state that uses the last animal mentioned on the Australia page as its emblem.	Perth
Tell me the name of the first country mentioned in the article of the last snack from the page of the TV character whose singing is compared to death metal.	1200 BC
What is the type of material used to make ceramic glass as mentioned in its article?	There is no article on ceramic glass
What is the total area of El Salvador mentioned in its article?	Has not been mentioned
What is the first solo album of Thom Yorke as mentioned in his page?	Has not been mentioned
What is the name of the latest album of Clipse based on its article?	There is no article on Clipse
Navigate to the page of the highest point of El Salvador as mentioned in the El Salvador article and tell me the height mentioned in that page.	No article on the highest point of El Salvador
What is the birth date of the person mentioned in the scientific method example from the Science article?	28 December 1882
Who hosted the summer olympic games before Rio or Beijing?	Beijing
Which australian state uses the Cooktown Orchid emblem?	Queensland
"How many times did you encounter the word pigeon when you traverse this series of articles: Peru, Pusha T, and the Doom (2016 video game)?"	Zero
What is the first section in the science article where CRISPR has been mentioned?	Etymology and Terminology
Which three biogeochemical cycles were mentioned in the Biology article?	"nitrogen, carbon, and water"
How many sections are there in the article of general theory of relativity (count the introduction section)?	Three
"Visit the first hyperlink in the article ""CryEngine"". What is the name of the country mentioned in the first section of resulting page."	No country mentioned
Which fast food restaurants were mentioned in the article of hamburgers?	"Burger King, Wendy's, McDonald's"
"Which one of these don't have a valid page: Burger King, Wendy's, McDonald's?"	"None, all of them have valid pages"
